Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
JPM,JPMORGAN CHASE &,JPM,20.2,JPMORGAN CHASE & CO,0.39,53929071.2,JPMORGAN CHASE & CO
BAC,BANK OF AMERICA,BAC,21.08,BANK OF AMERICA CORPORATION DEPOSI,0.39,53681779.92,BANK OF AMERICA CORPORATION DEPOSI
FOUR,SHIFT4 PAYMENTS,FOUR,73.25,SHIFT4 PAYMENTS INC,0.39,54471556.75,SHIFT4 PAYMENTS INC
TFC,TRUIST FINANCIAL,TFC,19.5,TRUIST FINANCIAL DRC CORP,0.39,53507473.5,TRUIST FINANCIAL DRC CORP
RGA,REINSURANCE GROUP OF AMERICA INCOR,RGA,25.4,REINSURANCE GROUP OF AMERICA INCOR,0.38,52933803.2,REINSURANCE GROUP OF AMERICA INCOR
BAC,BANK OF AMERICA,BAC,25.81,BANK OF AMERICA CORP,0.38,53040015.56,BANK OF AMERICA CORP
F,FORD MOTOR,F,21.67,FORD MOTOR COMPANY,0.37,51575510.14,FORD MOTOR COMPANY
QXO,QXO,QXO,59.55,QXO INC,0.37,50933293.65,QXO INC
SRE,SEMPRA ENERGY,SRE,22.65,SEMPRA ENERGY,0.37,51043315.2,SEMPRA ENERGY
NEE,NEXTERA ENERGY,NEE,24.17,NEXTERA ENERGY CAPITAL HOLDINGS IN,0.36,49434490.11,NEXTERA ENERGY CAPITAL HOLDINGS IN
WFC,WELLS FARGO & COMPANY SERIES L,WFC,18.07,WELLS FARGO & COMPANY,0.36,49754136.77,WELLS FARGO & COMPANY
F,FORD MOTOR,F,21.98,FORD MOTOR COMPANY,0.35,49041380.36,FORD MOTOR COMPANY
EQH,EQUITABLE HLDNGS DRC REPRESENTING,EQH,20.51,EQUITABLE HLDNGS DRC REPRESENTING,0.35,48921128.83,EQUITABLE HLDNGS DRC REPRESENTING
