Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
RF,REGIONS FINANCIAL CORPORATION,RF-C,24.1,Regions Financial,0.25,"34,409,377.50","1,427,775.00",REGIONS FINANCIAL CORPORATION
USB,US BANCORP,USB-R,16.04,US Bancorp,0.25,"34,351,280.04","2,141,601.00",US BANCORP
FITB,FIFTH THIRD BANCORP DEPOSITARY SHA,FITBI,25.67,Fifth Third Bancorp,0.24,"32,985,975.67","1,285,001.00",FIFTH THIRD BANCORP DEPOSITARY SHA
AXS,AXIS CAPITAL HOLDINGS LTD,AXS-E,20.26,Axis Capital Holdings,0.24,"32,315,328.06","1,595,031.00",AXIS CAPITAL HOLDINGS LTD
MTB,M&T BANK CORPORATION,MTB-K,24.97,M&T Bank,0.24,"32,070,219.50","1,284,350.00",M&T BANK CORPORATION
WTFC,WINTRUST FINANCIAL CORPORATION,WTFCN,26.25,Wintrust Financial,0.24,"31,895,718.75","1,215,075.00",WINTRUST FINANCIAL CORPORATION
COF,CAPITAL ONE FINANCIAL CORPORATION,COF-L,16.4,Capital One Financial,0.23,"31,609,245.20","1,927,393.00",CAPITAL ONE FINANCIAL CORPORATION
NLY,ANNALY CAPITAL MANAGEMENT INC,NLY-I,24.99,Annaly Capital Management,0.23,"31,574,939.97","1,263,503.00",ANNALY CAPITAL MANAGEMENT INC
STT,STATE STREET CORP,STT-G,21.91,State Street Corp,0.23,"31,282,550.25","1,427,775.00",STATE STREET CORP
NLY,ANNALY CAPITAL MANAGEMENT INC,NLY-G,24.81,Annaly Capital Management,0.22,"30,108,398.79","1,213,559.00",ANNALY CAPITAL MANAGEMENT INC
CHSINC,CHS INC,CHSCN,25.0,CHS,0.22,"29,980,375.00","1,199,215.00",CHS INC
FITBM,FIFTH THIRD BANCORP DEPOSITARY SHA,FITBM,26.24,Fifth Third Bancorp,0.22,"29,972,036.48","1,142,227.00",FIFTH THIRD BANCORP DEPOSITARY SHA
CFG,CITIZENS FINANCIAL GROUP INC,CFG-H,25.86,Citizens Financial,0.22,"29,537,369.58","1,142,203.00",CITIZENS FINANCIAL GROUP INC
BAC,BANK OF AMERICA DRC CORP,BAC-P,16.77,Bank of America,0.22,"29,486,456.22","1,758,286.00",BANK OF AMERICA DRC CORP
PSA,PUBLIC STORAGE,PSA-L,18.15,Public Storage,0.22,"29,282,792.55","1,613,377.00",PUBLIC STORAGE
MS,MORGAN STANLEY,MS-L,20.39,Morgan Stanley,0.22,"29,112,332.25","1,427,775.00",MORGAN STANLEY
AGNC,AGNC INVESTMENT CORP,AGNCO,25.23,AGNC Investment,0.21,"28,996,813.77","1,149,299.00",AGNC INVESTMENT CORP
CFG,CITIZENS FINANCIAL GROUP INC,CFG-I,25.08,Citizens Financial,0.21,"28,646,852.52","1,142,219.00",CITIZENS FINANCIAL GROUP INC
RGA,REINSURANCE GROUP OF AMERICA INCOR,RZB,25.03,Reinsurance Group of America,0.21,"28,595,452.67","1,142,219.00",REINSURANCE GROUP OF AMERICA INCOR
FCNCA,FIRST CITIZENS BANCSHARES INC (DEL,FCNCN,24.69,First Citizens BancShares,0.21,"28,227,854.79","1,143,291.00",FIRST CITIZENS BANCSHARES INC (DEL
KEY,KEYCORP,KEY-K,21.37,KeyCorp,0.2,"27,460,471.37","1,285,001.00",KEYCORP
PSA,PUBLIC STORAGE,PSA-P,15.65,Public Storage,0.2,"26,979,848.80","1,723,952.00",PUBLIC STORAGE
ATH,ATHENE HOLDING DS REPRESENTING A,ATH-D,16.35,Athene Holding LTD,0.2,"26,844,165.75","1,641,845.00",ATHENE HOLDING DS REPRESENTING A
KEY,KEYCORP,KEY-J,21.38,KeyCorp ,0.19,"25,940,165.62","1,213,575.00",KEYCORP
AQNCN,ALGONQUIN POWER & UTILITIES CORP,AQNB,25.74,Algonquin Power,0.19,"25,683,911.80","999,374.00",ALGONQUIN POWER & UTILITIES CORP
HBAN,HUNTINGTON BANCSHARES DRC INC,HBANP,17.27,Huntington Bancshares,0.19,"25,456,845.41","1,474,477.00",HUNTINGTON BANCSHARES DRC INC
BAC,BANK OF AMERICA CORP,BAC-S,19.29,Bank of America,0.19,"25,428,251.61","1,318,209.00",BANK OF AMERICA CORP
AGNC,AGNC INVESTMENT CORP,AGNCZ,25.36,AGNC Investment,0.19,"24,985,077.76","985,216.00",AGNC INVESTMENT CORP
CFG,CITIZENS FINANCIAL GROUP INC,CFG-E,19.13,Citizens Financial,0.18,"24,582,069.13","1,285,001.00",CITIZENS FINANCIAL GROUP INC
EIX,SCE TRUST VI,SCE-L,17.9,SCE Trust,0.18,"24,278,647.10","1,356,349.00",SCE TRUST VI
HBAN,HUNTINGTON BANCSHARES INC,HBANL,25.24,Huntington Bancshares,0.18,"24,211,863.60","959,296.00",HUNTINGTON BANCSHARES INC
EIX,SCE TRUST VIII,SCE-N,23.96,SCE Trust VIII,0.18,"23,945,001.04","999,374.00",SCE TRUST VIII
AGNC,AGNC INVESTMENT CORP,AGNCN,25.47,AGNC Investment,0.18,"23,636,643.93","928,019.00",AGNC INVESTMENT CORP
ACGL,ARCH CAPITAL GROUP LTD.,ACGLN,16.55,Arch Capital,0.17,"23,629,676.25","1,427,775.00",ARCH CAPITAL GROUP LTD.
USB,US BANCORP,USB-S,18.01,US Bancorp,0.17,"23,142,868.01","1,285,001.00",US BANCORP
RLJ,RLJ LODGING .95 CUMULATIVE CONVERT,RLJ-A,25.09,RLJ Lodging Trust,0.17,"23,067,319.47","919,383.00",RLJ LODGING .95 CUMULATIVE CONVERT
RNR,RENAISSANCERE HOLDINGS LTD,RNR-G,15.46,RenaissanceRE Holdings,0.16,"22,073,401.50","1,427,775.00",RENAISSANCERE HOLDINGS LTD
NTRS,NORTHERN TRUST CORPORATION,NTRSO,19.04,Northern Trust,0.16,"21,747,545.12","1,142,203.00",NORTHERN TRUST CORPORATION
USB,US BANCORP,USB-Q,15.08,US Bancorp,0.16,"21,530,847.00","1,427,775.00",US BANCORP
ASB,ASSOCIATED BANC-CORP,ASBA,24.92,Associated Banc-Corp,0.16,"21,346,472.00","856,600.00",ASSOCIATED BANC-CORP
FCNCA,FIRST CITIZENS BANCSHARES INC.,FCNCP,21.36,First Citizens BancShares,0.16,"21,044,192.40","985,215.00",FIRST CITIZENS BANCSHARES INC.
CIM,CHIMERA INVESTMENT CORP,CIM-B,22.3,Chimera Investment,0.15,"20,694,823.70","928,019.00",CHIMERA INVESTMENT CORP
PBI,PITNEY BOWES INC,PBI-B,19.97,Pitney Bowes,0.15,"20,228,571.56","1,012,948.00",PITNEY BOWES INC
VOYA,VOYA FINANCIAL INC,VOYA-B,23.6,Voya Financial,0.15,"20,215,760.00","856,600.00",VOYA FINANCIAL INC
BHF,BRIGHTHOUSE FINANCIAL INC,BHFAN,12.25,Brighthouse Financial,0.15,"20,112,307.25","1,641,821.00",BRIGHTHOUSE FINANCIAL INC
NLY,ANNALY CAPITAL MANAGEMENT INC,NLY-J,25.54,Annaly Capital Management,0.15,"20,055,157.30","785,245.00",ANNALY CAPITAL MANAGEMENT INC
DLR,DIGITAL REALTY TRUST INC,DLR-L,20.26,Digital Realty Trust,0.15,"19,960,476.16","985,216.00",DIGITAL REALTY TRUST INC
UNM,UNUM GROUP,UNMA,23.25,Unum Group,0.15,"19,933,082.00","856,600.00",UNUM GROUP
UMH,UMH PROPERTIES INC,UMH-D,21.53,UMH Properties,0.15,"19,783,627.50","919,100.00",UMH PROPERTIES INC
WAL,WESTERN ALLIANCE BANCORP,WAL-A,22.8,Western Alliance Bancorp,0.14,"19,530,480.00","856,600.00",WESTERN ALLIANCE BANCORP
PSA,PUBLIC STORAGE,PSA-R,15.59,Public Storage,0.14,"19,365,477.07","1,242,173.00",PUBLIC STORAGE
ACGL,ARCH CAPITAL GROUP LTD.,ACGLO,19.82,Arch Capital,0.14,"18,670,822.45","942,257.00",ARCH CAPITAL GROUP LTD.
BHF,BRIGHTHOUSE FINANCIAL INC,BHFAO,15.87,Brighthouse Financial,0.14,"18,237,064.52","1,149,291.00",BRIGHTHOUSE FINANCIAL INC
ATH,ATHENE HLDG DRC LTD,ATH-B,18.46,Athene Holding LTD,0.13,"18,186,921.22","985,207.00",ATHENE HLDG DRC LTD
ABR,ARBOR REALTY TRUST INC,ABR-F,21.96,Arbor Realty Trust,0.13,"18,058,103.28","822,318.00",ARBOR REALTY TRUST INC
PSA,PUBLIC STORAGE,PSA-H,22.09,Public Storage,0.13,"17,976,223.48","813,772.00",PUBLIC STORAGE
BNCN,BROOKFIELD FINANCE INC,BNJ,15.26,Brookfield Finance,0.13,"17,407,417.56","1,142,219.00",BROOKFIELD FINANCE INC
RITM,RITHM CAPITAL CORP,RITM-F,24.36,Rithm Capital,0.13,"17,388,630.84","713,819.00",RITHM CAPITAL CORP
AHL,ASPEN INSURANCE HOLDINGS LTD,AHL-E,20.94,Aspen Insurance Holdings,0.13,"17,302,428.84","826,286.00",ASPEN INSURANCE HOLDINGS LTD
PSA,PUBLIC STORAGE REPSTG TH BEN INT,PSA-I,19.08,Public Storage,0.13,"17,229,793.32","903,029.00",PUBLIC STORAGE REPSTG TH BEN INT
MFA,MFA FINANCIAL INC,MFA-C,21.93,MFA Financial,0.13,"17,220,422.85","785,245.00",MFA FINANCIAL INC
TWO,TWO HARBORS INVESTMENT CORP,TWO-B,23.34,Two Harbors Investment,0.13,"16,926,518.10","725,215.00",TWO HARBORS INVESTMENT CORP
PSA,PUBLIC STORAGE,PSA-G,19.64,Public Storage,0.12,"16,823,624.00","856,600.00",PUBLIC STORAGE
OZK,BANK OZK,OZKAP,16.49,Bank OZK,0.12,"16,813,236.98","1,019,602.00",BANK OZK
WSBC,WESBANCO INC,WSBCO,25.32,WesBanco Inc.,0.12,"16,628,960.64","656,752.00",WESBANCO INC
AGNC,AGNC INVESTMENT CORP,AGNCM,24.7,AGNC Investment,0.12,"16,570,122.75","670,991.00",AGNC INVESTMENT CORP
ALL,ALLSTATE CORPORATION (THE),ALL-I,19.23,Allstate,0.12,"16,472,418.00","856,600.00",ALLSTATE CORPORATION (THE)
KREF,KKR REAL ESTATE FINANCE TRUST INC,KREF-A,17.46,KKR Real Estate Finance,0.12,"16,340,412.42","935,877.00",KKR REAL ESTATE FINANCE TRUST INC
HPP,HUDSON PACIFIC PROPERTIES INC,HPP-C,13.43,Hudson Pacific,0.12,"16,298,312.25","1,213,575.00",HUDSON PACIFIC PROPERTIES INC
TWO,TWO HARBORS INVESTMENT CORP,TWO-C,23.6,Two Harbors Investment,0.12,"16,276,424.40","689,679.00",TWO HARBORS INVESTMENT CORP
PNFP PR C,PINNACLE FINANCIAL PARTNERS DEPOSI,PNFP-C,25.2,Pinnacle Financial Partners,0.12,"16,188,480.00","642,400.00",PINNACLE FINANCIAL PARTNERS DEPOSI
PSA,PUBLIC STORAGE DS REPRESENTING TH,PSA-F,20.12,Public Storage,0.12,"16,088,052.60","799,605.00",PUBLIC STORAGE DS REPRESENTING TH
DBRG,DIGITALBRIDGE GROUP .15 CUMULATIVE,DBRG-I,17.12,DigitalBridge,0.12,"15,721,151.56","918,533.00",DIGITALBRIDGE GROUP .15 CUMULATIVE
BUSE,FIRST BUSEY CORPORATION,BUSEP,25.6,First Busey,0.12,"15,718,476.80","614,003.00",FIRST BUSEY CORPORATION
MBIN,MERCHANTS BANCORP,MBINL,23.7,Merchants Bancorp,0.12,"15,565,146.32","656,760.00",MERCHANTS BANCORP
ETR,ENTERGY MISSISSIPPI INC,EMP,20.85,Entergy Mississippi,0.11,"15,457,121.94","742,417.00",ENTERGY MISSISSIPPI INC
AHL,ASPEN INSURANCE HOLDINGS LTD,AHL-F,23.85,Aspen Insurance Holdings,0.11,"15,321,240.00","642,400.00",ASPEN INSURANCE HOLDINGS LTD
